2025-12-09 19:28:58,985 - INFO - Config:
exp_name: RTformer_DrivAerNet
model:
  input_dim: 3
  output_dim: 1
  head_num: 4
  hidden_dim: 256
  res: true
  head_dim: 64
  slice_num: 64
  layer_num: 8
  mlp_ratio: 2
  dropout: 0.1
training:
  batch_size: 1
  epochs: 150
  lr: 0.001
  scheduler_step: 50
  scheduler_gamma: 0.7
  max_grad_norm: 0.1
  num_workers: 1
  weight_decay: 1.0e-05
  test_only: 0
  gpus: '0'
  root_dir: ~/drivaerML_N100_000
  seed: 42
dataload:
  directory: /home/mae-zhangbj/DrivAerNet_dataset/

2025-12-09 19:28:58,985 - INFO - args.exp_name : RTformer_DrivAerNet
2025-12-09 19:28:58,985 - INFO - Starting training with 1 GPUs
2025-12-09 19:29:01,383 - INFO - Total trainable parameters: 4524353
2025-12-09 19:29:01,383 - INFO - Data loaded: 2768 training batches, 603 validation batches, 595 test batches
2025-12-09 19:29:01,384 - INFO - Staring training for 150 epochs
2025-12-09 19:42:30,886 - INFO - Config:
exp_name: RTformer_DrivAerNet
model:
  input_dim: 3
  output_dim: 1
  head_num: 4
  hidden_dim: 256
  res: true
  head_dim: 64
  slice_num: 64
  layer_num: 8
  mlp_ratio: 2
  dropout: 0.1
training:
  batch_size: 1
  epochs: 150
  lr: 0.001
  scheduler_step: 50
  scheduler_gamma: 0.7
  max_grad_norm: 0.1
  num_workers: 1
  weight_decay: 1.0e-05
  test_only: 0
  gpus: '0'
  root_dir: ~/drivaerML_N100_000
  seed: 42
dataload:
  directory: /home/mae-zhangbj/DrivAerNet_dataset/

2025-12-09 19:42:30,886 - INFO - args.exp_name : RTformer_DrivAerNet
2025-12-09 19:42:30,886 - INFO - Starting training with 1 GPUs
2025-12-09 19:42:33,342 - INFO - Total trainable parameters: 4524353
2025-12-09 19:42:33,342 - INFO - Data loaded: 2768 training batches, 603 validation batches, 595 test batches
2025-12-09 19:42:33,343 - INFO - Staring training for 150 epochs
2025-12-09 19:51:13,777 - INFO - Epoch 1/150 - Train Loss: 0.969191, Val Loss: 0.972661[0m
2025-12-09 19:51:13,812 - INFO - New best model saved with Val Loss: 0.972661
2025-12-09 19:59:54,427 - INFO - Epoch 2/150 - Train Loss: 0.961253, Val Loss: 0.972030[0m
2025-12-09 19:59:54,499 - INFO - New best model saved with Val Loss: 0.972030
2025-12-09 20:08:35,161 - INFO - Epoch 3/150 - Train Loss: 0.960635, Val Loss: 0.971940[0m
2025-12-09 20:08:35,233 - INFO - New best model saved with Val Loss: 0.971940
2025-12-09 20:17:15,038 - INFO - Epoch 4/150 - Train Loss: 0.960588, Val Loss: 0.971936[0m
2025-12-09 20:17:15,106 - INFO - New best model saved with Val Loss: 0.971936
2025-12-09 20:25:54,264 - INFO - Epoch 5/150 - Train Loss: 0.960587, Val Loss: 0.971935[0m
2025-12-09 20:25:54,334 - INFO - New best model saved with Val Loss: 0.971935
2025-12-09 20:34:33,494 - INFO - Epoch 6/150 - Train Loss: 0.960575, Val Loss: 0.971935[0m
2025-12-09 20:43:12,601 - INFO - Epoch 7/150 - Train Loss: 0.960581, Val Loss: 0.971989[0m
2025-12-09 20:51:51,646 - INFO - Epoch 8/150 - Train Loss: 0.960562, Val Loss: 0.971947[0m
2025-12-09 21:00:30,805 - INFO - Epoch 9/150 - Train Loss: 0.960567, Val Loss: 0.972036[0m
2025-12-09 21:09:10,011 - INFO - Epoch 10/150 - Train Loss: 0.960567, Val Loss: 0.971941[0m
2025-12-09 21:17:49,394 - INFO - Epoch 11/150 - Train Loss: 0.960563, Val Loss: 0.971935[0m
2025-12-09 21:26:28,420 - INFO - Epoch 12/150 - Train Loss: 0.960564, Val Loss: 0.971936[0m
2025-12-09 21:35:07,492 - INFO - Epoch 13/150 - Train Loss: 0.960561, Val Loss: 0.971935[0m
2025-12-09 21:43:46,624 - INFO - Epoch 14/150 - Train Loss: 0.960562, Val Loss: 0.972134[0m
